price_numeric,discount_percent,rating,reviews_count,title_length,has_description,has_discount,has_rating,high_rating,hour,day_of_week,month,website_encoded,category_encoded,deal_quality_score
11.48,0.0,0.0,0.0,88,0,0,0,0,6,2,10,1,26,0.0
3.99,0.0,0.0,0.0,89,0,0,0,0,6,2,10,1,26,0.0
6.92,0.0,0.0,0.0,100,0,0,0,0,6,2,10,1,26,0.0
79.99,0.0,0.0,0.0,71,0,0,0,0,6,2,10,1,13,0.0
712.01,0.0,0.0,0.0,95,0,0,0,0,6,2,10,1,13,0.0
329.99,0.0,0.0,0.0,100,0,0,0,0,6,2,10,1,15,0.0
159.99,0.0,0.0,0.0,99,0,0,0,0,6,2,10,1,15,0.0
180.0,0.0,0.0,0.0,87,0,0,0,0,6,2,10,1,18,0.0
130.0,0.0,0.0,0.0,81,0,0,0,0,6,2,10,1,18,0.0
119.0,0.0,0.0,0.0,74,0,0,0,0,6,2,10,1,10,0.0
4.79,0.0,0.0,0.0,100,0,0,0,0,6,2,10,1,10,0.0
181.99,0.0,0.0,0.0,74,0,0,0,0,6,2,10,1,10,0.0
219.0,0.0,0.0,0.0,100,0,0,0,0,6,2,10,1,8,0.0
183.0,0.0,0.0,0.0,100,0,0,0,0,6,2,10,1,8,0.0
169.0,0.0,0.0,0.0,99,0,0,0,0,6,2,10,1,8,0.0
169.0,0.0,0.0,0.0,100,0,0,0,0,6,2,10,1,8,0.0
114.99,0.0,0.0,0.0,100,0,0,0,0,6,2,10,1,13,0.0
118.0,0.0,0.0,0.0,94,0,0,0,0,6,2,10,1,11,0.0
779.99,0.0,0.0,0.0,99,0,0,0,0,6,2,10,1,11,0.0
236.0,0.0,0.0,0.0,100,0,0,0,0,6,2,10,1,11,0.0
4.49,0.0,0.0,0.0,83,0,0,0,0,6,2,10,1,17,0.0
159.99,0.0,0.0,0.0,89,0,0,0,0,6,2,10,1,17,0.0
27.99,0.0,0.0,0.0,96,0,0,0,0,6,2,10,1,2,0.0
56.95,0.0,0.0,0.0,86,0,0,0,0,6,2,10,1,2,0.0
149.97,0.0,0.0,0.0,64,0,0,0,0,6,2,10,1,2,0.0
19.99,0.0,0.0,0.0,100,0,0,0,0,6,2,10,1,2,0.0
160.0,0.0,0.0,0.0,90,0,0,0,0,6,2,10,1,2,0.0
269.91,0.0,0.0,0.0,70,0,0,0,0,6,2,10,1,27,0.0
95.87,0.0,0.0,0.0,99,0,0,0,0,6,2,10,1,27,0.0
299.99,0.0,0.0,0.0,100,0,0,0,0,15,1,10,1,11,0.0
669.99,0.0,0.0,0.0,84,0,0,0,0,15,1,10,1,6,0.0
109.99,0.0,0.0,0.0,97,0,0,0,0,15,1,10,1,10,0.0
129.99,0.0,0.0,0.0,90,0,0,0,0,15,1,10,1,10,0.0
64.99,0.0,0.0,0.0,88,0,0,0,0,15,1,10,1,10,0.0
92.0,0.0,0.0,0.0,100,0,0,0,0,15,1,10,1,10,0.0
24.99,0.0,0.0,0.0,81,0,0,0,0,15,1,10,1,27,0.0
749.99,0.0,0.0,0.0,100,0,0,0,0,15,1,10,1,27,0.0
0.0,0.0,0.0,0.0,17,0,0,0,0,15,1,10,0,9,0.0
0.0,0.0,0.0,0.0,17,0,0,0,0,15,1,10,0,9,0.0
